INSERT INTO PACCHI VALUES
(1, 16, TO_TIMESTAMP('2020-12-23 02:52:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 3.0, TRUE),
(2, 75, TO_TIMESTAMP('2020-04-04 02:43:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Piccolo', 7.5, FALSE),
(3, 8, TO_TIMESTAMP('2022-12-22 13:18:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Piccolo', 2.25, FALSE),
(4, 54, TO_TIMESTAMP('2021-09-23 04:25:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 5.25, FALSE),
(5, 91, TO_TIMESTAMP('2022-08-28 13:44:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 1.5, TRUE),
(6, 22, TO_TIMESTAMP('2021-06-17 05:24:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Grande', 6.75, FALSE),
(7, 26, TO_TIMESTAMP('2022-11-04 08:10:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Piccolo', 2.25, FALSE),
(8, 18, TO_TIMESTAMP('2022-03-04 11:41:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 6.75, TRUE),
(9, 78, TO_TIMESTAMP('2021-03-19 15:31:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Medio', 0.75, FALSE),
(10, 4, TO_TIMESTAMP('2021-08-06 11:07:00', 'YYYY-MM-DD HH24:MI:SS'), 46, 'Grande', 3.75, TRUE),
(11, 73, TO_TIMESTAMP('2020-09-18 00:16:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Piccolo', 7.5, TRUE),
(12, 70, TO_TIMESTAMP('2020-10-24 15:11:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Medio', 3.0, FALSE),
(13, 95, TO_TIMESTAMP('2020-07-06 11:39:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Grande', 6.75, TRUE),
(14, 91, TO_TIMESTAMP('2020-08-25 17:52:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 5.25, TRUE),
(15, 10, TO_TIMESTAMP('2022-10-18 06:52:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Grande', 7.5, TRUE),
(16, 68, TO_TIMESTAMP('2022-11-02 21:57:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 1.5, FALSE),
(17, 47, TO_TIMESTAMP('2021-12-05 03:04:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 7.5, TRUE),
(18, 85, TO_TIMESTAMP('2022-07-12 23:54:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Grande', 7.5, TRUE),
(19, 26, TO_TIMESTAMP('2022-02-05 02:00:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 3.0, TRUE),
(20, 3, TO_TIMESTAMP('2021-09-07 02:30:00', 'YYYY-MM-DD HH24:MI:SS'), 54, 'Grande', 3.0, TRUE),
(21, 83, TO_TIMESTAMP('2020-04-16 12:12:00', 'YYYY-MM-DD HH24:MI:SS'), 45, 'Piccolo', 5.25, FALSE),
(22, 42, TO_TIMESTAMP('2020-11-06 04:04:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Piccolo', 3.75, TRUE),
(23, 88, TO_TIMESTAMP('2020-01-04 04:45:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 5.25, TRUE),
(24, 11, TO_TIMESTAMP('2022-10-06 20:20:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 3.0, FALSE),
(25, 11, TO_TIMESTAMP('2022-12-08 02:06:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Medio', 6.75, FALSE),
(26, 97, TO_TIMESTAMP('2022-01-23 16:32:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Piccolo', 0.75, FALSE),
(27, 41, TO_TIMESTAMP('2020-05-22 13:22:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Medio', 3.75, TRUE),
(28, 53, TO_TIMESTAMP('2020-02-17 16:15:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Grande', 7.5, TRUE),
(29, 76, TO_TIMESTAMP('2022-01-02 06:54:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Grande', 7.5, FALSE),
(30, 65, TO_TIMESTAMP('2021-10-16 15:07:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Grande', 6.75, TRUE),
(31, 23, TO_TIMESTAMP('2021-04-21 08:24:00', 'YYYY-MM-DD HH24:MI:SS'), 56, 'Medio', 3.0, FALSE),
(32, 54, TO_TIMESTAMP('2020-05-15 21:49:00', 'YYYY-MM-DD HH24:MI:SS'), 58, 'Piccolo', 4.5, TRUE),
(33, 81, TO_TIMESTAMP('2021-08-02 06:33:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Piccolo', 7.5, FALSE),
(34, 9, TO_TIMESTAMP('2021-09-21 05:15:00', 'YYYY-MM-DD HH24:MI:SS'), 51, 'Medio', 5.25, FALSE),
(35, 11, TO_TIMESTAMP('2022-03-14 13:44:00', 'YYYY-MM-DD HH24:MI:SS'), 42, 'Medio', 1.5, FALSE),
