INSERT INTO PACCHI VALUES
(401, 4, TO_TIMESTAMP('2020-11-09 22:31:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Medio', 6.0, FALSE),
(402, 31, TO_TIMESTAMP('2021-02-02 21:57:00', 'YYYY-MM-DD HH24:MI:SS'), 47, 'Piccolo', 1.5, TRUE),
(403, 85, TO_TIMESTAMP('2021-07-04 18:33:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Grande', 3.0, FALSE),
(404, 69, TO_TIMESTAMP('2021-01-27 13:40:00', 'YYYY-MM-DD HH24:MI:SS'), 57, 'Medio', 3.0, FALSE),
(405, 94, TO_TIMESTAMP('2020-12-17 11:12:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Medio', 4.5, FALSE),
(406, 73, TO_TIMESTAMP('2021-06-11 17:42:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Medio', 1.5, TRUE),
(407, 65, TO_TIMESTAMP('2020-08-18 01:20:00', 'YYYY-MM-DD HH24:MI:SS'), 43, 'Piccolo', 3.0, TRUE),
(408, 88, TO_TIMESTAMP('2020-11-25 15:53:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 7.5, TRUE),
(409, 20, TO_TIMESTAMP('2020-05-01 11:04:00', 'YYYY-MM-DD HH24:MI:SS'), 44, 'Piccolo', 6.75, FALSE),
(410, 76, TO_TIMESTAMP('2023-02-11 20:33:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Medio', 6.0, FALSE),
(411, 91, TO_TIMESTAMP('2021-07-25 12:33:00', 'YYYY-MM-DD HH24:MI:SS'), 52, 'Medio', 1.5, FALSE),
(412, 96, TO_TIMESTAMP('2022-10-12 00:20:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Piccolo', 3.0, TRUE),
(413, 50, TO_TIMESTAMP('2021-01-08 19:15:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Medio', 1.5, FALSE),
(414, 5, TO_TIMESTAMP('2022-01-02 12:11:00', 'YYYY-MM-DD HH24:MI:SS'), 55, 'Piccolo', 5.25, FALSE),
(415, 99, TO_TIMESTAMP('2020-05-12 02:31:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Piccolo', 1.5, FALSE),
(416, 68, TO_TIMESTAMP('2020-07-20 03:26:00', 'YYYY-MM-DD HH24:MI:SS'), 49, 'Medio', 3.75, TRUE),
(417, 64, TO_TIMESTAMP('2022-08-04 04:11:00', 'YYYY-MM-DD HH24:MI:SS'), 48, 'Medio', 3.75, TRUE),
(418, 53, TO_TIMESTAMP('2022-06-03 12:56:00', 'YYYY-MM-DD HH24:MI:SS'), 60, 'Medio', 4.5, FALSE),
(419, 12, TO_TIMESTAMP('2021-04-03 09:34:00', 'YYYY-MM-DD HH24:MI:SS'), 59, 'Grande', 1.5, TRUE),
(420, 58, TO_TIMESTAMP('2020-07-08 06:23:00', 'YYYY-MM-DD HH24:MI:SS'), 41, 'Grande', 4.5, FALSE),
(421, 96, TO_TIMESTAMP('2023-03-06 16:59:00', 'YYYY-MM-DD HH24:MI:SS'), 53, 'Medio', 0.75, TRUE),
(422, 3, TO_TIMESTAMP('2020-06-13 07:04:00', 'YYYY-MM-DD HH24:MI:SS'), 50, 'Medio', 1.5, TRUE),
