101, 'PCR-SO', 48, 28, TO_TIMESTAMP('2021-03-26 12:02:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-26 21:04:00', 'YYYY-MM-DD HH24:MI:SS'), 23),
101, 'SO-CRS', 28, 8, TO_TIMESTAMP('2021-03-26 21:04:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-27 04:31:00', 'YYYY-MM-DD HH24:MI:SS'), 66),
101, 'CRS-CRS', 8, 20, TO_TIMESTAMP('2021-03-27 04:31:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-27 22:58:00', 'YYYY-MM-DD HH24:MI:SS'), 61),
101, 'CRS-SO', 20, 40, TO_TIMESTAMP('2021-03-27 22:58:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-28 13:44:00', 'YYYY-MM-DD HH24:MI:SS'), 47),
101, 'SO-PCR', 40, 60, TO_TIMESTAMP('2021-03-28 13:44:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-03-29 09:07:00', 'YYYY-MM-DD HH24:MI:SS'), 7),
102, 'PCR-SO', 56, 36, TO_TIMESTAMP('2021-07-09 09:31:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-10 22:17:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
102, 'SO-CRS', 36, 16, TO_TIMESTAMP('2021-07-10 22:17:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-11 11:34:00', 'YYYY-MM-DD HH24:MI:SS'), 71),
102, 'CRS-CRS', 16, 5, TO_TIMESTAMP('2021-07-11 11:34:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-11 23:42:00', 'YYYY-MM-DD HH24:MI:SS'), 55),
102, 'CRS-SO', 5, 25, TO_TIMESTAMP('2021-07-11 23:42:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-12 14:18:00', 'YYYY-MM-DD HH24:MI:SS'), 46),
102, 'SO-PCR', 25, 45, TO_TIMESTAMP('2021-07-12 14:18:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2021-07-13 00:12:00', 'YYYY-MM-DD HH24:MI:SS'), 21),
103, 'PCR-SO', 41, 21, TO_TIMESTAMP('2022-07-15 06:03:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-07-16 02:44:00', 'YYYY-MM-DD HH24:MI:SS'), 51),
103, 'SO-CRS', 21, 1, TO_TIMESTAMP('2022-07-16 02:44:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-07-16 11:30:00', 'YYYY-MM-DD HH24:MI:SS'), 92),
103, 'CRS-CRS', 1, 6, TO_TIMESTAMP('2022-07-16 11:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-07-17 22:14:00', 'YYYY-MM-DD HH24:MI:SS'), 15),
103, 'CRS-SO', 6, 26, TO_TIMESTAMP('2022-07-17 22:14:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2022-07-19 03:03:00', 'YYYY-MM-DD HH24:MI:SS'), 72),
